,LAS_sens_nonElderly,LAS_spec_nonElderly,MATTS_sens_nonElderly,MATTS_spec_nonElderly,WMAS_sens_nonElderly,WMAS_spec_nonElderly,YAS_sens_nonElderly,YAS_spec_nonElderly,SWAST_sens_nonElderly,SWAST_spec_nonElderly,LAS_sens_Elderly,LAS_spec_Elderly,MATTS_sens_Elderly,MATTS_spec_Elderly,WMAS_sens_Elderly,WMAS_spec_Elderly,YAS_sens_Elderly,YAS_spec_Elderly,SWAST_sens_Elderly,SWAST_spec_Elderly
83,0.684895833,0.850378788,0.515625,0.928030303,0.596354167,0.854166667,0.614583333,0.850378788,0.416666667,0.929924242,0.413597734,0.877689694,0.280453258,0.968289921,0.371104816,0.884484711,0.393767705,0.877689694,0.252124646,0.960362401
84,0.710723192,0.821917808,0.556109726,0.931506849,0.630922693,0.861056751,0.635910224,0.821917808,0.466334165,0.947162427,0.433242507,0.87456847,0.234332425,0.970080552,0.365122616,0.888377445,0.414168937,0.87456847,0.207084469,0.962025316
85,0.671957672,0.870786517,0.44973545,0.945692884,0.584656085,0.906367041,0.605820106,0.870786517,0.402116402,0.940074906,0.415204678,0.891498881,0.263157895,0.975391499,0.292397661,0.903803132,0.388888889,0.891498881,0.219298246,0.972035794
86,0.667493797,0.811394892,0.488833747,0.931237721,0.570719603,0.833005894,0.58808933,0.811394892,0.429280397,0.935166994,0.471428571,0.891647856,0.291428571,0.961625282,0.371428571,0.908577878,0.454285714,0.891647856,0.254285714,0.965011287
87,0.677165354,0.826741996,0.490813648,0.941619586,0.553805774,0.853107345,0.590551181,0.826741996,0.385826772,0.945386064,0.408333333,0.874429224,0.288888889,0.95890411,0.344444444,0.888127854,0.391666667,0.874429224,0.258333333,0.948630137
88,0.658354115,0.847358121,0.493765586,0.929549902,0.588528678,0.870841487,0.578553616,0.847358121,0.416458853,0.947162427,0.398826979,0.869273743,0.2228739,0.970949721,0.328445748,0.897206704,0.381231672,0.869273743,0.225806452,0.960893855
89,0.699751861,0.815324165,0.511166253,0.921414538,0.637717122,0.860510806,0.605459057,0.815324165,0.481389578,0.921414538,0.395415473,0.883878241,0.23782235,0.961668546,0.286532951,0.892897407,0.383954155,0.883878241,0.189111748,0.957158963
90,0.618320611,0.840077071,0.44783715,0.936416185,0.554707379,0.876685934,0.544529262,0.840077071,0.404580153,0.949903661,0.385057471,0.888513514,0.227011494,0.983108108,0.298850575,0.903153153,0.364942529,0.888513514,0.206896552,0.963963964
91,0.685785536,0.851272016,0.503740648,0.945205479,0.581047382,0.892367906,0.618453865,0.851272016,0.406483791,0.953033268,0.42032967,0.877293578,0.230769231,0.970183486,0.31043956,0.888761468,0.409340659,0.877293578,0.222527473,0.962155963
92,0.669312169,0.812734082,0.492063492,0.913857678,0.55026455,0.86329588,0.613756614,0.812734082,0.391534392,0.93071161,0.442896936,0.879133409,0.239554318,0.972633979,0.359331476,0.904218928,0.428969359,0.879133409,0.236768802,0.963511973
93,0.675949367,0.814313346,0.503797468,0.914893617,0.579746835,0.87040619,0.579746835,0.814313346,0.440506329,0.928433269,0.405797101,0.87654321,0.252173913,0.955106622,0.368115942,0.892255892,0.391304348,0.87654321,0.237681159,0.950617284
94,0.594666667,0.82867784,0.418666667,0.934823091,0.528,0.867783985,0.541333333,0.82867784,0.368,0.940409683,0.410187668,0.88760139,0.297587131,0.972190035,0.343163539,0.893395133,0.399463807,0.88760139,0.268096515,0.958285052
95,0.666666667,0.820809249,0.506361323,0.936416185,0.557251908,0.845857418,0.580152672,0.820809249,0.442748092,0.94026975,0.467741935,0.876157407,0.301075269,0.956018519,0.346774194,0.895833333,0.430107527,0.876157407,0.252688172,0.951388889
96,0.670050761,0.849420849,0.489847716,0.944015444,0.565989848,0.88996139,0.563451777,0.849420849,0.418781726,0.959459459,0.389240506,0.882608696,0.240506329,0.972826087,0.291139241,0.902173913,0.379746835,0.882608696,0.205696203,0.95326087
97,0.673469388,0.840384615,0.512755102,0.934615385,0.556122449,0.863461538,0.573979592,0.840384615,0.428571429,0.934615385,0.415204678,0.891498881,0.271929825,0.973154362,0.339181287,0.909395973,0.385964912,0.891498881,0.236842105,0.970917226
98,0.697560976,0.832669323,0.517073171,0.942231076,0.590243902,0.860557769,0.614634146,0.832669323,0.429268293,0.948207171,0.421652422,0.872316384,0.239316239,0.95819209,0.336182336,0.88700565,0.401709402,0.872316384,0.216524217,0.949152542
99,0.651948052,0.823529412,0.477922078,0.935483871,0.568831169,0.85199241,0.566233766,0.823529412,0.412987013,0.94686907,0.442528736,0.884009009,0.25862069,0.969594595,0.390804598,0.886261261,0.42816092,0.884009009,0.235632184,0.949324324
100,0.601023018,0.846449136,0.450127877,0.930902111,0.542199488,0.882917466,0.547314578,0.846449136,0.383631714,0.946257198,0.415549598,0.884125145,0.252010724,0.969872538,0.35924933,0.899188876,0.399463807,0.884125145,0.227882038,0.960602549
101,0.665803109,0.844106464,0.481865285,0.937262357,0.577720207,0.872623574,0.611398964,0.844106464,0.419689119,0.937262357,0.383561644,0.88978186,0.219178082,0.969001148,0.320547945,0.893226177,0.37260274,0.88978186,0.202739726,0.950631458
102,0.678571429,0.824817518,0.513736264,0.927007299,0.571428571,0.863138686,0.615384615,0.824817518,0.406593407,0.928832117,0.444444444,0.909817352,0.266666667,0.979452055,0.372222222,0.914383562,0.425,0.909817352,0.222222222,0.974885845
103,0.710997442,0.811900192,0.498721228,0.919385797,0.601023018,0.852207294,0.639386189,0.811900192,0.434782609,0.919385797,0.445054945,0.885321101,0.266483516,0.961009174,0.35989011,0.885321101,0.428571429,0.885321101,0.241758242,0.947247706
104,0.720108696,0.821691176,0.516304348,0.943014706,0.586956522,0.851102941,0.635869565,0.821691176,0.461956522,0.939338235,0.424019608,0.88647343,0.25,0.972222222,0.321078431,0.903381643,0.397058824,0.88647343,0.200980392,0.966183575
